# x_m, y_m, w_tr_right_m, w_tr_left_m
-15.097112502873712, -3.6862308583369954, 10.0, 10.0
-14.555160279605605, -3.85514090557557, 10.0, 10.0
-14.013208056337499, -4.024050952814139, 10.0, 10.0
-13.471255833069392, -4.192961000052714, 10.0, 10.0
-12.929303609801288, -4.361871047291288, 10.0, 10.0
-12.387351386533181, -4.530781094529857, 10.0, 10.0
-11.845399163265075, -4.699691141768432, 10.0, 10.0
-11.303446939996968, -4.8686011890070064, 10.0, 10.0
-10.761494716728851, -5.037511236245582, 10.0, 10.0
-10.219542493460757, -5.206421283484156, 10.0, 10.0
-9.677590270192638, -5.375331330722725, 10.0, 10.0
-9.135638046924544, -5.544241377961299, 10.0, 10.0
-8.593685823656427, -5.713151425199874, 10.0, 10.0
-8.051733600388332, -5.882061472438443, 10.0, 10.0
-7.509781377120214, -6.0509715196770175, 10.0, 10.0
-6.9678291538521195, -6.219881566915593, 10.0, 10.0
-6.4258769305840024, -6.388791614154162, 10.0, 10.0
-5.883924707315896, -6.557701661392736, 10.0, 10.0
-5.3419724840477905, -6.72661170863131, 10.0, 10.0
-4.800020260779684, -6.895521755869879, 10.0, 10.0
-4.258068037511578, -7.064431803108454, 10.0, 10.0
-3.7161158142434716, -7.233341850347029, 10.0, 10.0
-3.1741635909753656, -7.4022518975855975, 10.0, 10.0
-2.6322113677072596, -7.571161944824178, 10.0, 10.0
-2.090259144439153, -7.740071992062747, 10.0, 10.0
-1.522612380254543, -7.7356034940913565, 10.0, 10.0
-0.9833864647826318, -7.558182445602552, 10.0, 10.0
-0.5239873468547444, -7.224722902613507, 10.0, 10.0
-0.1882108583694162, -6.767014517127894, 10.0, 10.0
-0.0004785435582448372, -6.231291272962574, 10.0, 10.0
0.09491011958734817, -5.6716987253829245, 10.0, 10.0
0.13856321040037756, -5.105715312175568, 10.0, 10.0
0.1533887284179059, -4.5382445901300175, 10.0, 10.0
0.15174520750250622, -3.970582617471655, 10.0, 10.0
0.1403806587234385, -3.4030320352374135, 10.0, 10.0
0.12307984097243435, -2.835631384842532, 10.0, 10.0
0.10203027750552565, -2.2683574366999837, 10.0, 10.0
0.07853478492240812, -1.7011795296975494, 10.0, 10.0
0.05339203031080615, -1.134072257434252, 10.0, 10.0
